https://meteostat.net/de/;;;;;;;;;;
date;tavg;tmin;tmax;prcp;snow;wdir;wspd;wpgt;pres;tsun
25.08.2020;17,4;13,5;21,4;0,1;0;246,3;12,2;31,5;1012,2;491
26.08.2020;16,5;15,7;17,9;11,6;0;221,9;22,1;66,7;1003,5;116
27.08.2020;16,2;12,8;18,5;1,5;0;277,2;21,9;57,4;1011,7;201
28.08.2020;15,7;11,5;20,7;0;0;167,1;11,7;33,3;1005,6;108
29.08.2020;17,4;14,4;21,3;0;0;228,8;11;31,5;1003,7;263
30.08.2020;17,1;12,8;21,4;8,3;0;33,6;8,6;27,8;1007,7;181
31.08.2020;16,3;13,9;19,6;5,1;0;329,2;10,9;27,8;1014;376
01.09.2020;14,8;11,1;18,1;0;0;30,2;10,8;27,8;1017,9;207
02.09.2020;13,3;10,5;15,9;2,7;0;304,6;10,5;25,9;1016,8;84
03.09.2020;16,4;12,4;21,2;6,4;0;256,1;13;31,5;1018,3;515
04.09.2020;18;15,5;21,8;5,8;0;235,3;13,6;31,5;1018,7;205
05.09.2020;15,7;12,6;17;2,7;0;259,6;11,1;29,6;1016,3;2
06.09.2020;13,7;10,4;17,7;0;0;266,4;12,4;35,2;1017,8;624
07.09.2020;13,3;9,4;17,9;0;0;269,1;10,4;27,8;1022,1;406
08.09.2020;15,8;10,2;20,6;0;0;233,8;14;37;1023,7;180
09.09.2020;18,8;14,1;23,6;0;0;242,4;13;35,2;1020,2;175
10.09.2020;15,6;11,9;18,4;0;0;302,2;12,4;29,6;1020;442
11.09.2020;15,2;9,4;21,6;0;0;159,1;8;22,2;1018,2;647
12.09.2020;17,1;9,4;24,9;0;0;230,9;12,4;37;1017,7;657
13.09.2020;17,2;12,2;22,8;0;0;246,4;11,2;29,6;1024,4;577
14.09.2020;19,8;12,1;28,4;0;0;170,7;8,7;22,2;1026,5;677
15.09.2020;21,8;14,9;30,2;0;0;141,1;12,7;29,6;1021,6;686
16.09.2020;20,8;14,9;27,5;0;0;284,4;12,1;35,2;1017,1;556
17.09.2020;15,1;10,3;18,2;0;0;11,1;13,7;33,3;1026,5;678
18.09.2020;12;5,8;18,8;0;0;80,4;8,7;20,4;1029,4;688
19.09.2020;13,1;6,3;20,2;0;0;94;12,4;31,5;1024;574
20.09.2020;14,2;7,9;21,4;0;0;84,8;12,8;29,6;1020;640
21.09.2020;15,3;8,3;23,3;0;0;92,7;10;24,1;1017,8;666
22.09.2020;17,3;10,9;25,3;0;0;152,4;9,7;24,1;1011,3;657
23.09.2020;18,8;13,6;25,9;0;0;193,5;8,9;22,2;1005,3;538
24.09.2020;16,7;13,2;21;0;0;208,9;12,1;31,5;1004,1;189
25.09.2020;13,2;10,7;15,1;8,9;0;260,2;8,7;25,9;997,9;60
26.09.2020;10;9,4;10,6;15,5;0;290;14,6;50;994,9;0
27.09.2020;9,5;7,9;11,5;2,8;0;210,4;8,3;25,9;1003,1;8
28.09.2020;12;8,2;17,4;0;0;154,7;9,4;25,9;1011,1;556
29.09.2020;12,4;9,6;16,6;0;0;316,8;5,8;16,7;1015,8;217
30.09.2020;12,7;8,3;18,2;0;0;355,1;6,1;14,8;1016,1;631
01.10.2020;12,3;9,2;15,7;0;0;81;7,2;18,5;1008,1;229
02.10.2020;14,1;11,5;17,5;0;0;106,3;15,7;38,9;1001,9;3
03.10.2020;16,2;12,3;21,6;0;0;105,2;18,3;38,9;994,6;463
04.10.2020;14,3;9,9;18,5;0;0;209,9;11,8;37;997,9;320
05.10.2020;11,6;8,3;15,5;0,7;0;146,1;10,1;24,1;1004;47
06.10.2020;11,7;9,1;14,4;1,3;0;194,8;16,7;37;1003,1;176
07.10.2020;12,1;10,5;14,4;2,4;0;219,2;14,1;29,6;1006,7;93
08.10.2020;12,1;9,8;14,3;3,2;0;215,6;16,8;40,8;1015,2;142
09.10.2020;13,3;11,7;15,2;2,6;0;230,2;12,4;35,2;1016;24
10.10.2020;10,6;6,5;12,3;0,5;0;239,3;11,5;33,3;1016,6;138
11.10.2020;7,7;4,4;11,4;0;0;215,8;11,9;27,8;1017,6;147
12.10.2020;7,7;5;11,4;0;0;248,1;9,7;24,1;1017,1;145
13.10.2020;7,1;3,7;10,7;0;0;1,2;9,3;31,5;1015,4;238
14.10.2020;9,1;8,4;9,7;14,4;0;359,3;22,7;53,7;1009,7;0
15.10.2020;10,1;9,5;10,5;9;0;4,6;17,4;37;1014,6;0
16.10.2020;9;7,8;10,2;1;0;10,4;13,2;27,8;1019,6;63
17.10.2020;8,4;7,1;10,3;1,2;0;347,3;7,4;20,4;1018,6;191
18.10.2020;7,9;6,3;9,5;0,5;0;269,1;17,2;42,6;1017,2;6
19.10.2020;8,2;6,4;11,3;0;0;246,3;11,2;25,9;1021,7;78
20.10.2020;8,5;4,6;12,4;1,1;0;164;14,8;33,3;1016,8;58
21.10.2020;12,1;10,3;15;2,9;0;184,2;15,8;33,3;1009,8;0
22.10.2020;15,2;12,2;19,4;0;0;214,3;17,2;37;1011,1;223
23.10.2020;13,7;12,1;16;4,2;0;228,3;8,7;25,9;1011,6;46
24.10.2020;12,8;10,3;16,2;1,3;0;232,2;12,7;33,3;1012,4;273
25.10.2020;12,5;9,5;17;0;0;174,2;16,5;35,2;1008,5;360
26.10.2020;10,9;9,5;12,5;1,8;0;195,7;9,7;24,1;1003,8;24
27.10.2020;9,4;7,5;12,2;0;0;200,2;14,6;33,3;1008;27
28.10.2020;10;8;13;0,4;0;191,9;16,8;33,3;1009,3;99
29.10.2020;9,6;7,9;11,2;2,7;0;234,4;17,1;42,6;1012;143
30.10.2020;10,2;7;12,9;12,7;0;233,6;14,4;35,2;1015,7;0
31.10.2020;13;11,7;14,7;6,1;0;233,7;10,3;29,6;1020,5;0
01.11.2020;12,2;10,4;13,8;0,6;0;184,5;14,2;29,6;1014;12
02.11.2020;15,9;13,4;18,7;4,4;0;205,6;17,8;35,2;1009,8;125
03.11.2020;12,1;7,5;15,9;0;0;247,4;12,9;31,5;1020,2;364
04.11.2020;7,6;5,1;10,4;0;0;255,3;12,9;33,3;1028,9;385
05.11.2020;7;3,7;9,8;0;0;257,6;13,6;31,5;1035,5;407
06.11.2020;9,6;8,1;11,8;0;0;260,3;11;29,6;1033,7;0
07.11.2020;8;3,3;12,6;0;0;158,8;10;22,2;1028,4;344
08.11.2020;5,7;1,9;11,1;0;0;131,2;7,3;22,2;1025,6;441
09.11.2020;6,1;4,7;7,8;0;0;106,5;13,5;25,9;1027,7;0
10.11.2020;5,7;4,8;7,2;0;0;119,1;13,2;25,9;1029;0
11.11.2020;5,3;3,7;6,9;0;0;140,8;8,8;20,4;1027;0
12.11.2020;7,2;5,4;9,6;0;0;164,6;11,3;25,9;1021;144
13.11.2020;7,5;5,4;10,7;0;0;202,7;11,1;22,2;1019,5;259
14.11.2020;10;7,8;12,6;0;0;198,3;10,7;22,2;1018,1;59
15.11.2020;10,5;8,4;14,6;0;0;174,4;16,9;35,2;1013,2;199
16.11.2020;9,9;8,6;12;2,2;0;209,1;15,5;35,2;1012;148
17.11.2020;9,7;8,3;10,7;1,6;0;225;15,4;31,5;1022,3;52
18.11.2020;10,2;8,3;12,5;0;0;207,2;14,6;29,6;1023,5;0
19.11.2020;9;5,4;11,1;0,2;0;243,1;21,5;53,7;1015,6;30
20.11.2020;3,9;1,1;5,9;0;0;277,3;15,2;38,9;1029,2;182
21.11.2020;3,6;0,6;6,3;0,1;0;212,5;16,5;38,9;1030,1;71
22.11.2020;7,4;6;8,9;1,2;0;239,7;18,2;38,9;1022,1;38
23.11.2020;6,6;5;8,2;0;0;264,4;16,4;42,6;1024,6;301
24.11.2020;4,4;2,3;7,5;0;0;206,4;12,5;25,9;1025,3;343
25.11.2020;2,4;1;4,7;0;0;180,3;11,1;22,2;1020,5;0
26.11.2020;4,1;0,9;7;0;0;227,3;10,7;22,2;1020,3;0
27.11.2020;5;2,6;6,2;0;0;350,9;5,4;16,7;1022,2;103
28.11.2020;2,4;1,1;3,6;0;0;23,9;6,2;16,7;1025,3;0
29.11.2020;2,8;1,4;4,6;0;0;330,8;11,4;25,9;1026,7;7
30.11.2020;1;0,4;1,8;0;0;243,9;11;24,1;1023,9;0
01.12.2020;1,3;0,1;3,1;0,3;0;151;12,1;27,8;1017,1;0
02.12.2020;0;-1,8;2,1;0;0;119,9;11,3;25,9;1020,1;9
03.12.2020;-1,2;-2,6;0,2;0;0;146,9;15,3;33,3;1007,4;0
04.12.2020;0,4;-2,2;2,8;0;0;125;16,7;33,3;996,3;5
05.12.2020;3,1;1;6,1;0;0;129,8;13;33,3;1000;107
06.12.2020;6,6;3,8;9,3;0;0;105,2;17,7;37;1001,6;142
07.12.2020;6,2;3,8;8;0;0;132,8;15,9;40,8;1002,1;20
08.12.2020;4,5;3;6,3;0;0;101,6;12;27,8;1007,2;359
09.12.2020;3,1;1,8;4;2,4;0;100,8;15,5;29,6;1010,5;0
10.12.2020;0,3;-1;1,7;0;0;96,4;12,4;29,6;1010;0
11.12.2020;0,1;-1;1,1;0;0;117;14,3;33,3;1004,3;0
12.12.2020;1,7;0,9;2,8;0,1;0;107,1;14,1;31,5;1002;71
13.12.2020;2,2;1,4;3,1;0;0;93,1;6,2;18,5;1010,7;0
14.12.2020;4,6;2,3;7,1;0;0;161,4;13,3;29,6;1013,6;80
15.12.2020;5,6;3,4;7,3;0,4;0;167,9;13,5;27,8;1013;0
16.12.2020;6,7;5,4;7,7;0,3;0;192,5;8,7;25,9;1019,7;1
17.12.2020;5,9;3,8;8,3;0,4;0;176,9;14,3;29,6;1020,5;147
18.12.2020;5,4;3,6;8;0;0;199,1;11,7;24,1;1024,1;321
19.12.2020;4,1;2,1;7,2;0;0;160,8;14,7;27,8;1020,9;370
20.12.2020;4,3;2,7;6,5;0,4;0;164;13,7;27,8;1021,1;200
21.12.2020;5;3,7;7,3;1,4;0;189,5;12,9;31,5;1021;310
22.12.2020;8,9;5,1;11,8;8,7;0;228,5;19,8;44,5;1010,1;40
23.12.2020;7,6;6,4;9,1;4,9;0;171,7;9,7;25,9;1012,3;0
24.12.2020;6,5;3,4;8,5;5,1;0;268,7;17,9;44,5;1005,2;13
25.12.2020;2,4;1,2;3,4;0,2;0;314;14,7;29,6;1017,3;1
26.12.2020;1,2;-0,2;2,3;0;0;238,2;15,4;35,2;1019,3;0
27.12.2020;2;1;3,5;0;0;169,9;26;53,7;999,7;0
28.12.2020;2,1;1,1;4,2;0,5;0;134,7;16,1;42,6;984,3;52
29.12.2020;2,2;0,9;4;1,1;0;187,1;12,5;27,8;987,8;106
30.12.2020;1,9;0,1;4,2;0;0;196,8;13,8;29,6;1001,2;337
31.12.2020;2;1,1;4,3;0,1;0;185;12,8;25,9;1006,1;153
01.01.2021;0,9;0;1,7;1,2;0;195,2;8,2;20,4;1007,7;0
02.01.2021;0,7;-1,2;2,8;0;0;176,9;8,1;22,2;1014,5;68
03.01.2021;0,2;-0,3;0,6;7,2;0;57,8;18,2;37;1015,8;0
04.01.2021;0,7;0,4;0,9;3,4;40;51,2;14,9;31,5;1017,2;0
05.01.2021;1,2;0,5;2;2,3;20;30,5;15,1;31,5;1016,9;0
06.01.2021;1,5;0,7;2,2;3,8;0;300,6;12,8;29,6;1011,2;0
07.01.2021;0,9;0,5;1,2;1,4;0;248,5;13,1;29,6;1010,1;0
08.01.2021;0,1;-0,6;0,8;0,9;0;239,4;8,7;20,4;1012,2;0
09.01.2021;0,5;0;1,2;0,9;0;279;8,4;18,5;1019,7;0
10.01.2021;0,2;-0,9;0,8;0;0;249,6;10,3;25,9;1023,8;64
11.01.2021;0,7;-0,8;1,9;1;0;214;17,4;42,6;1017,3;0
12.01.2021;1,7;0,1;2,4;6,8;10;240,8;19,8;44,5;1003,8;0
13.01.2021;1,2;-0,1;2,9;4;0;266,6;22,6;50;1005,5;0
14.01.2021;1,5;0,6;2,6;2,1;30;326,2;17,5;46,3;1013,5;8
15.01.2021;-0,8;-2,8;0,5;1,5;0;335,2;14;33,3;1023,4;0
16.01.2021;-2,4;-3,1;-1,6;0,5;0;296,7;13,4;33,3;1023,4;23
17.01.2021;-2,9;-5;-1,3;0;0;193,5;7,2;20,4;1020,3;0
18.01.2021;-2,3;-5;1,2;2,8;0;190;11,1;29,6;1019,1;0
19.01.2021;2,2;1,4;3,8;9,6;0;218,1;17,3;35,2;1008,9;0
20.01.2021;5,6;3,9;8;0,7;0;211,2;19,1;38,9;1003,1;43
21.01.2021;8;5,5;11,3;0;0;190,9;21,8;48,2;997,3;180
22.01.2021;7,5;3;9,4;0;0;217,8;17,1;53,7;992,8;0
23.01.2021;1,7;0,4;2,7;4,4;0;291,8;8,6;22,2;996,7;0
24.01.2021;0,4;-0,6;1,2;2,7;0;94;9,3;20,4;996,7;0
25.01.2021;0,8;-0,1;2;0,9;0;266,3;10,7;24,1;1002,9;0
26.01.2021;0,1;-1,8;1,8;0,2;0;267,1;12,4;29,6;1011,1;212
27.01.2021;1,1;-0,2;3,5;0,2;0;231;12,4;27,8;1012,9;222
28.01.2021;1,7;-1,3;3,4;1,1;0;295,8;11,7;25,9;1004,6;6
29.01.2021;-1,7;-3,3;-0,1;1,3;0;100,1;11;29,6;999,4;28
30.01.2021;-1,2;-3,3;0,7;2,6;90;350;10,9;27,8;1001,7;35
31.01.2021;-3,5;-5,7;0,2;0;70;223,9;8;20,4;1005,7;454
01.02.2021;-3,3;-6,3;-0,2;0,2;60;118,2;14,9;33,3;1000,1;193
02.02.2021;0,3;-1,5;1,3;3,1;50;195;9,4;22,2;1002,1;1
03.02.2021;3,5;1;5,6;9,6;20;127,8;8,2;25,9;999,3;26
04.02.2021;1,3;-0,5;4,2;5,5;0;31,1;11,7;31,5;1010,8;0
05.02.2021;-0,2;-1;0,9;1,4;0;93,7;17,4;38,9;1018,6;0
06.02.2021;-1,7;-3,8;-0,6;0,3;40;82,5;23,5;51,8;1019,1;0
07.02.2021;-5,9;-7,1;-3,7;2,7;30;80,6;29,2;61,1;1012,5;0
08.02.2021;-8,6;-10,1;-6,2;6,4;80;61,5;21,5;53,7;1005,7;0
09.02.2021;-9,5;-11,6;-7,4;1,7;120;359,8;6,3;16,7;1007,1;0
10.02.2021;-9,1;-12,8;-4,7;0,7;160;309,8;7,2;20,4;1012;269
11.02.2021;-5,7;-8,7;-2,5;0,7;130;337,5;10,6;22,2;1026;50
12.02.2021;-6,2;-9,2;-2,2;0,2;120;350,9;10,4;24,1;1035,4;495
13.02.2021;-5,2;-9;-0,8;0;110;311,7;9,9;20,4;1040,3;366
14.02.2021;-5,4;-8,1;-1,1;0;110;264,7;9,7;20,4;1041,7;307
15.02.2021;-4,4;-10,9;1,4;2,4;110;163,2;14;33,3;1032,8;198
16.02.2021;2,5;0,4;4,1;1,9;150;195;10,7;29,6;1018,6;0
17.02.2021;4,5;2,9;5,8;1,4;110;246,3;14,1;35,2;1014;34
18.02.2021;6,4;3,7;10,2;0,5;30;173,2;12,1;33,3;1017,2;314
19.02.2021;6,4;2,9;9,2;3;0;226,9;14,9;37;1016,3;349
20.02.2021;6,2;1,2;12,1;0;0;161;13;25,9;1019,7;408
21.02.2021;8,8;4,5;15,2;0;0;168,7;13,9;25,9;1018,9;548
22.02.2021;7,4;3,1;13,5;0;0;167;10,8;24,1;1022,3;559
23.02.2021;10,9;4,4;18,2;0;0;213,8;9,9;24,1;1030,4;358
24.02.2021;13,1;8,6;19,1;0;0;213,2;11,8;27,8;1031,2;436
25.02.2021;12,6;7,8;18,7;0;0;222,6;11,5;29,6;1026,8;486
26.02.2021;8,2;5,3;10,4;2,7;0;296,9;13;31,5;1028,8;55
27.02.2021;4,9;2,9;7;0;0;296,9;14,4;31,5;1036;8
28.02.2021;4,5;2,2;7,9;0;0;281,8;11,4;24,1;1036,7;35
29.02.2024;4,9;;;;;;;;;
01.03.2021;5,3;2,5;9;0;0;254,2;7,4;16,7;1035,9;308
02.03.2021;5,2;0,2;12;0;0;213,8;4,9;13;1034,3;426
03.03.2021;6,8;0,4;14;0;0;209;9,7;25,9;1027,1;478
04.03.2021;4;2,7;7;0;0;305,4;13,7;29,6;1018,6;0
05.03.2021;1,7;-0,8;4,5;0;0;343,6;12,9;31,5;1024,9;524
06.03.2021;1,2;-2,8;4,6;0;0;268,6;14;35,2;1030,6;192
07.03.2021;2,3;0,8;3,6;0,5;0;272,8;17,5;40,8;1022,5;0
08.03.2021;1,8;-1,6;5,4;0,3;0;1,7;9,4;24,1;1022;620
09.03.2021;0,6;-3,8;5,8;0;0;126;9,7;20,4;1020,9;532
10.03.2021;2;-3,7;7,7;0;0;133,6;11,8;29,6;1019;569
11.03.2021;5,9;2,4;10,5;10,1;0;197,2;23;57,4;1001,3;85
12.03.2021;7,3;5,7;9,3;3,1;0;244,4;22,8;53,7;1002,1;161
13.03.2021;6,5;4,8;8,6;5,5;0;218,9;23,2;57,4;997,1;44
14.03.2021;5,3;4,2;6,7;5,9;0;260,5;23,4;61,1;1001,2;72
15.03.2021;4,3;3;5,9;3,6;0;254,3;15,5;38,9;1006,6;96
16.03.2021;4;2;6,1;1,5;0;319;17,7;40,8;1015,5;60
17.03.2021;2,5;0,9;4,9;0,6;0;354,5;10,1;25,9;1021,9;78
18.03.2021;1,6;-0,5;4,1;2;0;318,4;8,5;24,1;1021,6;216
19.03.2021;0,9;-1,7;3,1;1;10;17,3;15;42,6;1022,3;214
20.03.2021;0,1;-3,4;2,8;0;0;297,4;12,2;33,3;1026,4;205
21.03.2021;4,8;2,9;7,5;1,4;0;296,8;19,4;46,3;1014,1;137
22.03.2021;4,2;-0,2;8,3;0;0;301,9;11,6;27,8;1019,3;611
23.03.2021;5,5;4,1;7,3;0,3;0;281,9;12,4;27,8;1023,1;0
24.03.2021;6,6;3,4;11,4;0;0;235,4;9,7;25,9;1023;209
25.03.2021;8,5;3,2;14;0;0;233,7;8,7;24,1;1019,6;454
26.03.2021;9,8;4,9;15;0;0;195,6;8,4;24,1;1018,6;195
27.03.2021;7;3,9;8,7;2,5;0;236,4;17,5;51,8;1016,8;158
28.03.2021;7,7;1,4;12,1;0;0;;14,4;42,1;1027,1;277
29.03.2021;12,1;8,6;16,3;0,1;0;236;15,1;35,2;1027;251
30.03.2021;13,6;8;20,4;0;0;263,1;12;29,6;1029,5;706
31.03.2021;14,4;5,6;23,4;0;0;215,2;8,1;24,1;1023,6;709
01.04.2021;11,5;7,7;15,8;0;0;305,1;14,4;42,6;1017,4;22
02.04.2021;6,7;3,1;9,8;0;0;323;14,6;42,6;1020,1;509
03.04.2021;5,5;2,7;7,9;0;0;340,1;15,7;38,9;1021,1;463
04.04.2021;4,4;-1,4;9;0;0;262,4;12,1;38,9;1020,5;633
05.04.2021;4,3;1,4;6,5;3,2;0;262,4;23;64,8;1002,3;194
06.04.2021;2,1;-0,4;4,6;1,4;0;267,4;19,7;46,3;1004,5;332
07.04.2021;3,2;0;6,6;1,3;0;272;20,4;48,2;1008,3;86
08.04.2021;4,1;1,9;6,3;0;0;276,9;21,2;50;1017,8;102
09.04.2021;6,7;1,7;12;0;0;221;16,8;44,5;1015,3;526
10.04.2021;6,5;4,2;8,8;4,5;0;35;8,8;27,8;1014,8;0
11.04.2021;11,7;6,5;18,7;4,7;0;159,4;15,6;37;1010,6;233
12.04.2021;5,5;2,7;10,3;2,1;0;298,5;15,5;38,9;1021,5;17
13.04.2021;4,2;0,4;7,7;0;0;287;14,2;37;1027,7;481
14.04.2021;4;0,6;7;0;0;322,2;13,3;31,5;1027,7;303
15.04.2021;3,6;0,9;5,9;1,1;0;357,5;15,6;42,6;1027,7;69
16.04.2021;5,6;2,8;8,1;1,1;0;355,2;16,5;35,2;1024,6;263
17.04.2021;7,4;3,9;10,7;0,7;0;351,8;11,2;27,8;1021,9;66
18.04.2021;8,3;5,1;11,3;3,5;0;31,6;9,4;25,9;1020,5;50
19.04.2021;9,9;5,3;15,1;0;0;14,9;9,3;25,9;1019,8;265
20.04.2021;10,6;5,8;15,8;0;0;330,8;8,6;24,1;1016,1;735
21.04.2021;10,1;4,5;15,8;0;0;304,3;14,1;42,6;1014,1;544
22.04.2021;6,8;3,2;9,5;0,5;0;294;21,5;51,8;1018,6;187
23.04.2021;7,3;3,9;10,7;0;0;297,6;17,2;42,6;1024,2;455
24.04.2021;6,6;3,4;9,5;0;0;310,9;12,7;31,5;1025;322
25.04.2021;5,5;2;9;0;0;339,9;10,8;35,2;1024,3;311
26.04.2021;4,3;-0,9;8,4;0;0;343,3;9,2;24,1;1022;376
27.04.2021;6;-1,1;12;0;0;97;12,5;35,2;1016,4;811
28.04.2021;9,8;2,5;16,4;0;0;105,9;14,7;31,5;1009,3;781
29.04.2021;10,7;8,2;14,2;2,7;0;178,9;13;37;1002,8;212
30.04.2021;8,5;7;10,5;0;0;305,6;13,7;35,2;1010,5;0
01.05.2021;8,8;5,5;12,3;0;0;73,1;7,1;22,2;1013,7;240
02.05.2021;7,8;6,4;9,1;6,1;0;338,8;11,9;35,2;1011,7;0
03.05.2021;7,4;4,6;10,5;4,6;0;269,9;17,8;44,5;1016,9;191
04.05.2021;9,4;5,6;12,8;2;0;200,5;23,1;63;1003,3;82
05.05.2021;9,2;6,8;11;2;0;242;25,5;64,8;999,3;271
06.05.2021;7,7;3,7;11,3;0,5;0;247,8;17,8;50;1005,8;355
07.05.2021;5,7;4,2;7,5;6,3;0;294,5;12,1;42,6;1008,9;179
08.05.2021;8,4;3;13,3;0;0;243;12,4;31,5;1017,5;467
09.05.2021;16,6;8,7;25,4;0;0;169,6;16,9;38,9;1010,5;772
10.05.2021;20,2;12,2;28,7;0;0;172,8;14,4;33,3;1007;789
11.05.2021;20,6;14,8;27;0;0;62,1;10,7;35,2;1005,6;726
12.05.2021;14,6;12,9;17;4,8;0;305,4;14,7;33,3;1007,3;0
13.05.2021;11,5;10,7;13;8,3;0;316,6;15,8;33,3;1005,2;0
14.05.2021;10,7;8,9;12,4;5,6;0;284,8;14,8;35,2;1005,5;24
15.05.2021;12;6,9;16,1;1,9;0;200,6;10,6;33,3;1006,5;496
16.05.2021;12,5;8,9;16,3;1,1;0;203;11,7;33,3;1002,8;324
17.05.2021;12,5;8,2;16,7;1,1;0;228,3;9,8;27,8;1003,1;320
18.05.2021;11,6;8,7;14,8;1,7;0;282,5;12,1;33,3;1009,3;71
19.05.2021;11,6;7,9;15;0;0;299,3;11,4;31,5;1014,1;682
20.05.2021;11,9;7,6;15,9;0;0;281,7;12,5;35,2;1017,2;453
21.05.2021;13,8;9;19;0;0;213,4;16,6;51,8;1007,6;427
22.05.2021;12,5;9,1;16;1,5;0;220,8;17,4;51,8;1004,5;275
23.05.2021;12;9,1;15;2,3;0;245,4;13,8;37;1011,7;354
24.05.2021;14,6;6,8;21,3;0;0;166,1;14,1;38,9;1014,4;711
25.05.2021;12,6;10;14;2,3;0;222;16,1;44,5;1011,2;240
26.05.2021;11,1;8,3;14;5,9;0;216,8;17,1;42,6;1011,3;281
27.05.2021;11,6;8,9;13,6;2,6;0;232,9;16,1;40,8;1012,2;127
28.05.2021;11,6;8,9;14,7;1;0;307;13,4;31,5;1020;180
29.05.2021;12;6,9;15,8;0;0;321,4;14,1;40,8;1023,6;362
30.05.2021;13,3;6,5;18,5;0;0;15,4;12,7;35,2;1026,5;867
31.05.2021;14,1;6,4;20,4;0;0;36,6;8,5;22,2;1024,1;902
01.06.2021;15,8;9,3;21,2;0;0;334,6;11,8;31,5;1019,2;531
02.06.2021;17,2;11,2;22,4;0,7;0;92,9;12,6;33,3;1019,5;519
03.06.2021;19,9;12,7;26,4;0;0;117;15,1;35,2;1023;868
04.06.2021;19,9;14,8;24,8;0;0;118,3;14,2;31,5;1021,4;350
05.06.2021;20,7;14;26,5;0;0;88,3;11,9;29,6;1019,4;801
06.06.2021;21,6;16,1;26,7;0;0;86,9;9,3;24,1;1019,2;571
07.06.2021;20;13,7;25,4;0;0;342,5;11,1;27,8;1020,5;904
08.06.2021;20,2;14,4;24,6;0;0;354;10,7;29,6;1021,2;666
09.06.2021;20,3;13,7;25,9;0;0;351,1;8;24,1;1021;754
10.06.2021;21;15,5;26,1;0;0;332;9,8;31,5;1018,9;698
11.06.2021;21,4;16;25,6;0;0;321,4;9,7;33,3;1017;734
12.06.2021;18,2;15;19,3;1,9;0;293,3;16,6;48,2;1015,1;157
13.06.2021;14,8;10,8;18,6;0;0;307,8;18,6;44,5;1022,6;286
14.06.2021;18,1;10,1;25,6;0;0;260,4;8,8;24,1;1021,9;892
15.06.2021;19;14,8;22,4;0;0;318,7;10,9;25,9;1018,3;250
16.06.2021;20,3;13;27,1;0;0;97,5;11,4;27,8;1018,3;912
17.06.2021;25,6;17,4;33,6;0;0;129,6;14,6;35,2;1015,2;904
18.06.2021;26,9;18,4;34,8;0;0;140,3;15,4;38,9;1014;914
19.06.2021;26,6;18,7;33,2;0;0;201,8;10,4;27,8;1012,8;663
20.06.2021;27,3;21,2;32,7;0;0;185,8;11,7;33,3;1009,2;464
21.06.2021;25,3;21,5;29,8;0;0;292,1;12,9;35,2;1005,7;666
22.06.2021;18,8;16,9;20,8;0;0;318,5;12,6;29,6;1012,4;20
23.06.2021;17,4;14,5;19,6;0;0;332,3;8,2;22,2;1019,1;206
24.06.2021;17,2;13,9;20,2;1,8;0;353,6;8,9;22,2;1018,7;1
25.06.2021;18,4;14,2;22,2;0;0;300,6;8,3;25,9;1017;168
26.06.2021;19,8;14,1;24,5;0;0;344,4;7,6;25,9;1018,5;630
27.06.2021;20,7;14,1;26;0;0;3,5;7,4;22,2;1017,7;798
28.06.2021;23,2;16,2;29,6;0;0;123,8;8,5;22,2;1015,5;601
